COMMON NAME,START MONTH,START DAY,END MONTH,END DAY,POLYGON
Yellow-throated Vireo,11,,3,,
Warbling Vireo,12,,3,,
Red-eyed Vireo,12,,3,,
Loggerhead Shrike,,,,,"44.81840860013716, -79.3556759225307|44.372491546609815, -79.11123012174944|43.95084272399341, -78.5811397897182|44.17583446452265, -77.2023556100307|44.30963288249521, -76.35366176237444|44.64670574544967, -76.3179561959682|44.01408462305982, -74.76476405729632|43.182681883353034, -73.34340785612444|40.85696254354321, -82.1462032662807|44.849572531143394, -86.4198849069057|44.88071960956738, -86.6286251412807"
Loggerhead Shrike,11,,3,,
Black-billed Magpie,,,,,"39.17480136162396, -83.86287148546121|46.56831427940278, -66.46052773546121|56.63962578839483, -83.77498086046121|47.12435645222592, -93.31111367296121"
Clark's Nutcracker,,,,,
Eurasian Jackdaw,,,,,
Fish Crow,,,,,"57.14488408597597, -88.67420213999736|47.29003706189647, -60.81287401499736|43.81431666407724, -77.20447557749736|43.96079705607953, -79.18750780405986|43.54616106121639, -79.85492723765361|43.3287759221661, -80.25867479624736|42.899712111075665, -79.14905565562236|41.80776521023943, -79.76429003062236|40.88818744993852, -88.19629686655986|47.64651860010116, -95.61756151499736|53.18266819167963, -96.71619432749736"
Chihuahuan Raven,,,,,
Carolina Chickadee,,,,,
Carolina x Black-capped Chickadee (hybrid),,,,,
Carolina x Black-capped Chickadee,,,,,
Boreal Chickadee,,,,,"45.46092361838332, -82.74184320192904|44.86445763175035, -79.74257562380404|44.24207374061447, -78.26491449099154|44.83330175339589, -76.46864984255404|45.56870107308418, -73.40346429567904|42.707490339257674, -77.57277581911654|40.33065760570574, -84.24697015505404"
Tufted Titmouse,,,,,"57.69930324960985, -87.5654351221666|52.90343439425256, -98.0244194971666|44.017902611539526, -94.0693413721666|44.63094010024887, -78.7763726221666|44.857230375557755, -76.7109429346666|45.69984808500642, -76.1396538721666"
Northern Rough-winged Swallow,,,,,"55.34502161753965, -93.37022685570791|53.63513477448582, -86.83336162133291|52.812995289320895, -86.58067607445791|50.215867806880944, -84.28453349633291|50.33873628139631, -79.95317363305166|50.29313643655241, -78.37938212914541|54.588240811629646, -74.04527568383291|58.37027337965573, -86.75645732445791"
Purple Martin,,,,,"55.34502161753965, -93.37022685570791|53.63513477448582, -86.83336162133291|52.812995289320895, -86.58067607445791|50.215867806880944, -84.28453349633291|50.33873628139631, -79.95317363305166|50.29313643655241, -78.37938212914541|54.588240811629646, -74.04527568383291|58.37027337965573, -86.75645732445791"
Violet-green Swallow,,,,,
Barn x Cliff Swallow (hybrid),,,,,
Cave Swallow,,,,,
Yellow-browed Warbler,,,,,
White-breasted Nuthatch,,,,,"55.34502161753965, -93.37022685570791|53.63513477448582, -86.83336162133291|52.812995289320895, -86.58067607445791|50.215867806880944, -84.28453349633291|50.33873628139631, -79.95317363305166|50.29313643655241, -78.37938212914541|54.588240811629646, -74.04527568383291|58.37027337965573, -86.75645732445791"
Blue-gray Gnatcatcher,,,,,"46.83247357834313, -96.3924802268779|46.99757384693988, -74.1122067893779|56.24481335004855, -74.22684420684075|57.68206807220005, -91.98075045684075|52.59153966111512, -95.59286534185931"
Rock Wren,,,,,
House Wren,,,,,"55.34502161753965, -93.37022685570791|53.63513477448582, -86.83336162133291|52.812995289320895, -86.58067607445791|50.215867806880944, -84.28453349633291|50.33873628139631, -79.95317363305166|50.29313643655241, -78.37938212914541|54.588240811629646, -74.04527568383291|58.37027337965573, -86.75645732445791"
Sedge Wren,11,,3,,
Marsh Wren,,,,,"50.60953587272235, -95.2790540895371|49.4236314386827, -87.8193372926621|48.91362719450001, -78.9313978395371|53.9966048107248, -77.3493665895371|57.69252943887011, -90.4011244020371|54.07161288063122, -95.8283704957871"
Carolina Wren,,,,,"46.83247357834313, -96.3924802268779|46.99757384693988, -74.1122067893779|56.24481335004855, -74.22684420684075|57.68206807220005, -91.98075045684075|52.59153966111512, -95.59286534185931"
Bewick's Wren,,,,,
Sage Thrasher,,,,,
Northern Mockingbird,,,,,"55.34502161753965, -93.37022685570791|53.63513477448582, -86.83336162133291|52.812995289320895, -86.58067607445791|50.215867806880944, -84.28453349633291|50.33873628139631, -79.95317363305166|50.29313643655241, -78.37938212914541|54.588240811629646, -74.04527568383291|58.37027337965573, -86.75645732445791"
Northern Mockingbird,8,,4,,"49.56500503776498, -95.47256032204191|48.926706127921136, -78.31191579079191|55.70334259551633, -76.20961799987032|57.16339748839163, -91.71439794797861|53.32477061803459, -96.27414319751026"
Mountain Bluebird,,,,,
Townsend's Solitaire,,,,,
Varied Thrush,,,,,
Veery,,,,,"55.34502161753965, -93.37022685570791|53.63513477448582, -86.83336162133291|52.812995289320895, -86.58067607445791|50.215867806880944, -84.28453349633291|50.33873628139631, -79.95317363305166|50.29313643655241, -78.37938212914541|54.588240811629646, -74.04527568383291|58.37027337965573, -86.75645732445791"
Gray-cheeked Thrush,11,,3,,
Bicknell's Thrush,,,,,
Wood Thrush,,,,,"55.34502161753965, -93.37022685570791|53.63513477448582, -86.83336162133291|52.812995289320895, -86.58067607445791|50.215867806880944, -84.28453349633291|50.33873628139631, -79.95317363305166|50.29313643655241, -78.37938212914541|54.588240811629646, -74.04527568383291|58.37027337965573, -86.75645732445791"
Eurasian Blackbird,,,,,
Fieldfare,,,,,
Siberian Rubythroat,,,,,
Northern Wheatear,,,,,
Phainopepla,,,,,
House Sparrow,,,,,"55.34502161753965, -93.37022685570791|53.63513477448582, -86.83336162133291|52.812995289320895, -86.58067607445791|50.215867806880944, -84.28453349633291|50.33873628139631, -79.95317363305166|50.29313643655241, -78.37938212914541|54.588240811629646, -74.04527568383291|58.37027337965573, -86.75645732445791"
Eurasian Tree Sparrow,,,,,
White Wagtail,,,,,
